,time,accX,accY,accZ,gyrX,gyrY,gyrZ,roll,pitch,yaw
4098,2113,-528,12620,7128,-346,327,128,0.6712796954705116,-0.4853860847075195,1.8945256976204827
4099,2116,-600,12592,7396,-348,325,166,-0.37683416540684944,0.17931868560065026,2.758099401957064
4100,2119,-648,12560,7496,-344,329,151,-1.469712881712048,-0.3632185499075554,-2.5948950857565114
4101,2124,-440,12512,7480,-344,248,208,-2.1710915660897325,-1.2717468352171308,-2.0014062213889674
4102,2127,-584,12600,7540,-341,173,183,0.39700571416198727,-1.0611630947124784,1.6947850746370217
4103,2130,-480,12616,7520,-327,34,236,-0.5871090231111764,-0.32705923769909473,1.919290408906925
4104,2133,-344,12716,7464,-312,-6,229,-1.5901549471485519,0.043984463717266664,2.562450149481782
4105,2137,-372,12552,7464,-317,-112,247,-2.6861700537265967,-0.08323295868195527,-2.8792406256297776
4106,2140,-564,12680,7284,-307,-180,255,2.8646114686329103,-0.8504837976016862,-2.1954585171696106
4107,2149,-188,12536,7452,-320,-231,266,-1.0406304654909866,-1.2210138868845772,1.2570229132976234
4108,2152,0,12564,7456,-264,-238,259,-1.4686656232893813,-0.20998999875644384,1.9485493421956108
4109,2155,-12,12524,7640,-276,-184,209,-2.418838028108971,0.11582691636622552,2.789523870400571
4110,2159,32,12552,7484,-240,-38,177,3.0436928639105734,-0.4284427430806522,3.103181123177981
4111,2162,-4,12584,7572,-203,64,132,2.0024966555081063,-0.6862531196546647,2.5638038378274697
4112,2166,16,12492,7468,-225,173,92,1.054608503251257,-0.07206496076859402,2.2523514098723165
4113,2169,-144,12588,7520,-184,197,89,0.26048216547934,0.6063152570786795,2.6129136211491795
4114,2172,-248,12584,7288,-197,220,83,-1.0607511511641756,0.5720673753948222,-2.681338674810353
4115,2176,-316,12684,7476,-208,225,90,-1.9158436824858485,-0.17845494701711193,-2.3137541278727447
4116,2179,-344,12600,7252,-201,177,71,-2.816397097103674,-0.7944389020813749,-2.619744065058988
4117,2182,-196,12592,7388,-190,179,81,2.0016391762439505,-0.8050643366903164,2.646826110777064
4118,2185,-196,12528,7404,-201,159,32,1.180695813541699,-0.24318869620519928,2.502695426033098
4119,2188,-228,12512,7496,-189,183,33,0.4581310866338409,0.3166830472479513,2.8539519436344905
